Landcover,expH_fungi
Grassland,101.08
Grassland,79.33
Grassland,67.54
Grassland,33.68
Grassland,58.97
Grassland,64.89
Grassland,73.21
Grassland,64.35
Grassland,79.00
Grassland,57.48
Grassland,76.66
Grassland,49.38
Grassland,61.02
Grassland,59.90
Grassland,78.06
Grassland,100.39
2yo_plantation,45.97
2yo_plantation,82.78
2yo_plantation,56.27
2yo_plantation,77.06
2yo_plantation,61.09
2yo_plantation,67.33
2yo_plantation,52.48
2yo_plantation,61.10
2yo_plantation,68.70
2yo_plantation,83.31
2yo_plantation,57.73
2yo_plantation,56.59
2yo_plantation,81.86
2yo_plantation,21.74
2yo_plantation,90.66
2yo_plantation,38.99
10yo_plantation,76.66145006
10yo_plantation,71.91857159
10yo_plantation,34.54776355
10yo_plantation,41.25585315
10yo_plantation,51.6906951
10yo_plantation,71.41955863
10yo_plantation,52.99643804
10yo_plantation,32.52103872
10yo_plantation,81.27810145
10yo_plantation,56.91280894
10yo_plantation,86.38733567
10yo_plantation,54.29653913
10yo_plantation,107.2548247
10yo_plantation,61.21889346
10yo_plantation,27.0798903
10yo_plantation,75.66834556
24yo_plantation,46.45672991
24yo_plantation,75.85303012
24yo_plantation,170.4278517
24yo_plantation,93.35486517
24yo_plantation,18.3361605
24yo_plantation,178.7821752
24yo_plantation,104.1769033
24yo_plantation,63.57245224
24yo_plantation,38.97046684
24yo_plantation,88.38970352
24yo_plantation,49.78068462
24yo_plantation,39.20261664
24yo_plantation,20.490074
24yo_plantation,115.1788476
24yo_plantation,97.9897005
24yo_plantation,54.29733489
Remnant_forest,62.76215071
Remnant_forest,135.1432235
Remnant_forest,94.9550074
Remnant_forest,43.84350434
Remnant_forest,153.9896482
Remnant_forest,72.27664068
Remnant_forest,89.78940976
Remnant_forest,35.57987725
Remnant_forest,130.5304616
Remnant_forest,108.4392512
Remnant_forest,101.7080397
Remnant_forest,14.38938319
Remnant_forest,86.85505176
Remnant_forest,65.62181603
